rule,component,line,message,severity,type
java:S3776,service/src/main/java/org/whispersystems/textsecuregcm/push/MessageSender.java,56,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,CRITICAL,CODE_SMELL
java:S1301,service/src/main/java/org/whispersystems/textsecuregcm/auth/PhoneVerificationTokenManager.java,58,"Replace this ""switch"" statement by ""if"" statements to increase readability.",MINOR,CODE_SMELL
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/entities/ChangeNumberRequest.java,18,"Override equals, hashCode and toString to consider array's content in the method",MAJOR,BUG
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/entities/RegistrationRequest.java,13,"Override equals, hashCode and toString to consider array's content in the method",MAJOR,BUG
java:S112,service/src/main/java/org/whispersystems/textsecuregcm/registration/RegistrationServiceClient.java,96,Define and throw a dedicated exception instead of using a generic one.,MAJOR,CODE_SMELL
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/entities/ConfirmUsernameHashRequest.java,14,"Override equals, hashCode and toString to consider array's content in the method",MAJOR,BUG
java:S1068,service/src/main/java/org/whispersystems/textsecuregcm/auth/RegistrationLockVerificationManager.java,27,"Remove this unused ""LOCKED_ACCOUNT_COUNTER_NAME"" private field.",MAJOR,CODE_SMELL
java:S1068,service/src/main/java/org/whispersystems/textsecuregcm/auth/RegistrationLockVerificationManager.java,29,"Remove this unused ""LOCK_REASON_TAG_NAME"" private field.",MAJOR,CODE_SMELL
java:S1068,service/src/main/java/org/whispersystems/textsecuregcm/auth/RegistrationLockVerificationManager.java,30,"Remove this unused ""ALREADY_LOCKED_TAG_NAME"" private field.",MAJOR,CODE_SMELL
java:S1068,service/src/main/java/org/whispersystems/textsecuregcm/auth/RegistrationLockVerificationManager.java,33,"Remove this unused ""accounts"" private field.",MAJOR,CODE_SMELL
java:S1068,service/src/main/java/org/whispersystems/textsecuregcm/auth/RegistrationLockVerificationManager.java,34,"Remove this unused ""clientPresenceManager"" private field.",MAJOR,CODE_SMELL
java:S125,service/src/main/java/org/whispersystems/textsecuregcm/auth/RegistrationLockVerificationManager.java,78,This block of commented-out lines of code should be removed.,MAJOR,CODE_SMELL
java:S1068,service/src/main/java/org/whispersystems/textsecuregcm/controllers/RegistrationController.java,49,"Remove this unused ""logger"" private field.",MAJOR,CODE_SMELL
java:S1301,service/src/main/java/org/whispersystems/textsecuregcm/registration/RegistrationServiceClient.java,168,"Replace this ""switch"" statement by ""if"" statements to increase readability.",MINOR,CODE_SMELL
java:S112,service/src/main/java/org/whispersystems/textsecuregcm/registration/RegistrationServiceClient.java,172,Define and throw a dedicated exception instead of using a generic one.,MAJOR,CODE_SMELL
java:S108,service/src/main/java/org/whispersystems/textsecuregcm/limits/PushChallengeManager.java,86,Either remove or fill this block of code.,MAJOR,CODE_SMELL
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/entities/AccountIdentityResponse.java,11,"Override equals, hashCode and toString to consider array's content in the method",MAJOR,BUG
java:S1128,service/src/main/java/org/whispersystems/textsecuregcm/entities/ReserveUsernameHashResponse.java,13,Remove this unused import 'java.util.UUID'.,MINOR,CODE_SMELL
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/entities/ReserveUsernameHashResponse.java,15,"Override equals, hashCode and toString to consider array's content in the method",MAJOR,BUG
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/entities/UsernameHashResponse.java,15,"Override equals, hashCode and toString to consider array's content in the method",MAJOR,BUG
java:S1128,service/src/main/java/org/whispersystems/textsecuregcm/storage/AccountChangeValidator.java,10,Remove this unused import 'org.whispersystems.textsecuregcm.util.Optionals'.,MINOR,CODE_SMELL
java:S1128,service/src/main/java/org/whispersystems/textsecuregcm/storage/AccountChangeValidator.java,13,Remove this unused import 'java.util.Arrays'.,MINOR,CODE_SMELL
java:S1192,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,327,"Define a constant instead of duplicating this literal ""#username_hash"" 4 times.",CRITICAL,CODE_SMELL
java:S1602,service/src/main/java/org/whispersystems/textsecuregcm/storage/Accounts.java,458,Remove useless curly braces around statement,MINOR,CODE_SMELL
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/storage/AccountsManager.java,328,"Override equals, hashCode and toString to consider array's content in the method",MAJOR,BUG
java:S1118,service/src/main/java/org/whispersystems/textsecuregcm/util/ByteArrayBase64UrlAdapter.java,12,Add a private constructor to hide the implicit public one.,MAJOR,CODE_SMELL
java:S1481,service/src/main/java/org/whispersystems/textsecuregcm/workers/AssignUsernameCommand.java,218,"Remove this unused ""reservation"" local variable.",MINOR,CODE_SMELL
java:S1481,service/src/main/java/org/whispersystems/textsecuregcm/workers/AssignUsernameCommand.java,220,"Remove this unused ""result"" local variable.",MINOR,CODE_SMELL
java:S106,service/src/main/java/org/whispersystems/textsecuregcm/workers/AssignUsernameCommand.java,221,Replace this use of System.out or System.err by a logger.,MAJOR,CODE_SMELL
java:S3776,service/src/main/java/org/whispersystems/textsecuregcm/auth/BaseAccountAuthenticator.java,75,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,CRITICAL,CODE_SMELL
java:S1117,service/src/main/java/org/whispersystems/textsecuregcm/storage/Device.java,175,"Rename ""salt"" which hides the field declared at line 29.",MAJOR,CODE_SMELL
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/entities/SpamReport.java,10,"Override equals, hashCode and toString to consider array's content in the method",MAJOR,BUG
java:S3776,service/src/main/java/org/whispersystems/textsecuregcm/WhisperServerService.java,266,Refactor this method to reduce its Cognitive Complexity from 19 to the 15 allowed.,CRITICAL,CODE_SMELL
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/configuration/SecureValueRecovery2Configuration.java,9,"Override equals, hashCode and toString to consider array's content in the method",MAJOR,BUG
java:S6218,service/src/main/java/org/whispersystems/textsecuregcm/configuration/DirectoryV2ClientConfiguration.java,9,"Override equals, hashCode and toString to consider array's content in the method",MAJOR,BUG
java:S1118,service/src/main/java/org/whispersystems/textsecuregcm/util/HmacUtils.java,16,Add a private constructor to hide the implicit public one.,MAJOR,CODE_SMELL
java:S5164,service/src/main/java/org/whispersystems/textsecuregcm/util/HmacUtils.java,22,"Call ""remove()"" on ""THREAD_LOCAL_HMAC_SHA_256"".",MAJOR,BUG
java:S112,service/src/main/java/org/whispersystems/textsecuregcm/util/HmacUtils.java,26,Define and throw a dedicated exception instead of using a generic one.,MAJOR,CODE_SMELL
java:S112,service/src/main/java/org/whispersystems/textsecuregcm/util/HmacUtils.java,36,Define and throw a dedicated exception instead of using a generic one.,MAJOR,CODE_SMELL
