Rule Key,Rule Name,#
java:S1192,"Define a constant instead of duplicating this literal ""#username_hash"" 4 times.",43
java:S1118,Add a private constructor to hide the implicit public one.,35
java:S1186,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",26
java:S3776,Refactor this method to reduce its Cognitive Complexity from 18 to the 15 allowed.,22
java:S112,Define and throw a dedicated exception instead of using a generic one.,21
java:S6204,Replace this usage of 'Stream.collect(Collectors.toList())' with 'Stream.toList()',21
java:S107,"Method has 11 parameters, which is greater than 7 authorized.",17
java:S6218,"Override equals, hashCode and toString to consider array's content in the method",16
java:S106,Replace this use of System.out or System.err by a logger.,16
java:S6213,Rename this variable to not match a restricted identifier.,15
java:S2142,"Either re-interrupt this method or rethrow the ""InterruptedException"" that can be caught here.",15
java:S6244,Consider using the Consumer Builder method instead of creating this nested builder.,14
java:S108,Either remove or fill this block of code.,13
java:S1128,Remove this unused import 'java.util.UUID'.,12
java:S1874,"Remove this use of ""REGION_TAG_NAME""; it is deprecated.",11
java:S1199,Extract this nested code block into a method.,10
java:S1066,Merge this if statement with the enclosing one.,10
java:S6201,Replace this instanceof check and cast with 'instanceof RateLimitChallengeListener ratelimitchallengelistener',10
java:S1602,Remove useless curly braces around statement,9
java:S6355,Add 'since' and/or 'forRemoval' arguments to the @Deprecated annotation.,9
java:S2139,"Either log this exception and handle it, or rethrow it with some contextual information.",9
java:S1123,Add the missing @deprecated Javadoc tag.,9
java:S1068,"Remove this unused ""LOCKED_ACCOUNT_COUNTER_NAME"" private field.",8
java:S4274,Replace this assert with a proper check.,8
java:S1700,"Rename field ""combinedUnidentifiedSenderAccessKeys""",8
java:S1481,"Remove this unused ""reservation"" local variable.",7
java:S1124,Reorder the modifiers to comply with the Java Language Specification.,7
java:S3457,Format specifiers should be used instead of string concatenation.,7
java:S1104,Make level a static final constant or non-public and provide accessors if needed.,7
java:S125,This block of commented-out lines of code should be removed.,6
java:S3655,"Call ""auth.isPresent()"" or ""!auth.isEmpty()"" before accessing the value.",6
java:S1075,Refactor your code to get this URI from a customizable parameter.,6
java:S4719,Replace charset name argument with StandardCharsets.UTF_8,6
java:S2184,"Cast one of the operands of this addition operation to a ""long"".",5
java:S1854,"Remove this useless assignment to local variable ""prohibitedUsernames"".",5
java:S1141,Extract this nested try block into a separate method.,5
java:S1301,"Replace this ""switch"" statement by ""if"" statements to increase readability.",4
java:S4276,Refactor this code to use the more specialised Functional Interface 'Predicate<Account>',4
java:S2259,"A ""NullPointerException"" could be thrown; ""response"" is nullable here.",4
java:S5411,Use a primitive boolean expression here.,4
java:S1193,"Replace the usage of the ""instanceof"" operator by a catch block.",4
java:S1155,Use isEmpty() to check whether the collection is empty or not.,4
java:S1905,"Remove this unnecessary cast to ""CompletableFuture[]"".",3
java:S3740,Provide the parametrized type for this generic.,3
java:S1116,Remove this empty statement.,3
java:S1612,Replace this lambda with method reference 'RedisCommandTimeoutException.class::isInstance'.,3
java:S5993,"Change the visibility of this constructor to ""protected"".",3
java:S5803,"Remove this usage of ""parseConfiguration"", it is annotated with @VisibleForTesting and should not be accessed from production code.",3
java:S2629,Invoke method(s) only conditionally.,2
java:S1611,"Remove the parentheses around the ""ignored"" parameter",2
java:S1130,"Remove the declaration of thrown exception 'org.whispersystems.textsecuregcm.controllers.RateLimitExceededException', as it cannot be thrown from method's body.",2
java:S4738,"Use ""java.util.Map.of()"" or ""java.util.Map.ofEntries()"" instead.",2
java:S117,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,2
java:S3252,"Use static access with ""org.glassfish.jersey.model.Parameter"" for ""Source"".",2
java:S2273,"Move this call to ""wait()"" into a synchronized block to be sure the monitor on ""Object"" is held.",2
java:S2274,"Remove this call to ""wait"" or move it into a ""while"" loop.",2
java:S4201,"Remove this unnecessary null check; ""instanceof"" returns false for nulls.",2
java:S1110,Remove these useless parentheses.,2
java:S1643,Use a StringBuilder instead.,2
java:S1117,"Rename ""salt"" which hides the field declared at line 29.",1
java:S5164,"Call ""remove()"" on ""THREAD_LOCAL_HMAC_SHA_256"".",1
java:S3864,"Remove this use of ""Stream.peek"".",1
java:S116,"Rename this field ""GET_MESSAGES_FOR_DEVICE_FLUX_NAME"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",1
java:S1125,Remove the unnecessary boolean literal.,1
java:S3398,"Move this method into ""NotificationWorker"".",1
java:S3416,"Update this logger to use ""ChangeNumberManager.class"".",1
java:S6242,Set the credentials provider explicitly on this builder.,1
java:S6241,Set the region explicitly on this builder.,1
java:S135,Reduce the total number of break and continue statements in this loop to use at most one.,1
java:S127,Refactor the code in order to not assign to this loop counter from within the loop body.,1
java:S2583,"Change this condition so that it does not always evaluate to ""false""",1
java:S1610,"Convert the abstract class ""AnswerChallengeRequest"" into an interface.",1
java:S1181,Catch Exception instead of Throwable.,1
java:S2589,"Remove this expression which always evaluates to ""true""",1
java:S2119,"Save and re-use this ""Random"".",1
java:S6353,Use concise character class syntax '\\d' instead of '[0-9]'.,1
java:S3599,Use another way to initialize this instance.,1
java:S1171,Move the contents of this initializer to a standard constructor or to field initializers.,1
java:S2387,"""cab"" is the name of a field in ""DynamicConverter"".",1
java:S1126,Replace this if-then-else statement by a single return statement.,1
java:S2676,Use the original value instead.,1
java:S1604,Make this anonymous inner class a lambda,1
java:S2095,"Use try-with-resources or close this ""BufferedReader"" in a ""finally"" clause.",1
